ordinal,id,location,euro,surface,compartiment,link
12,X4NB100AT,marasti,86000,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4NB100AT?lista=141495822
13,X1KA100EF,baciu,77000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA100EF?lista=141495822
14,X9LN10013,marasti,93000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9LN10013?lista=141495822
15,X4NB100B3,manastur,80000,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X4NB100B3?lista=141495822
16,X3SH103D3,central,108825,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X3SH103D3?lista=141495822
17,X54N0001G,baciu,72500,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X54N0001G?lista=141495822
18,X8SC1000J,manastur,83000,78,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8SC1000J?lista=141495822
19,XANP00004,marasti,89458,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00004?lista=141495822
20,X7KQ100EE,buna ziua,109000,85,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7KQ100EE?lista=141495822
21,X8CH10007,manastur,110000,80,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8CH10007?lista=141495822
22,X9PI1001C,dambul rotund,105000,78,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X9PI1001C?lista=141495822
23,X1KA101PJ,gheorgheni,110000,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA101PJ?lista=141495822
24,X57Q1008K,marasti,106000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X57Q1008K?lista=141495822
25,XANP0000I,marasti,97977,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP0000I?lista=141495822
26,XA7E00004,central,107700,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-XA7E00004?lista=141495822
27,X54N0003O,marasti,90033,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X54N0003O?lista=141495822
28,X3SH1034R,manastur,94900,92,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X3SH1034R?lista=141495822
29,X8P71000A,europa,93500,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X8P71000A?lista=141495822
30,XAVK0000A,vest,91300,83,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/vest/apartament-de-vanzare-3-camere-XAVK0000A?lista=141495822
31,XAHI1003U,buna ziua,110000,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-XAHI1003U?lista=141495822
32,X9PN10021,manastur,92600,98,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PN10021?lista=141495822
